device_id,segment_id,start_utc,end_utc,minutes,soc_drop_pct
352944080639365,246,2019-10-15 05:32:00+00:00,2019-10-16 17:36:00+00:00,2165,46.18181818181818
352944080639365,202,2019-10-12 10:47:00+00:00,2019-10-14 04:49:00+00:00,2523,28.454545454545453
358057080902248,123,2019-10-09 10:34:00+00:00,2019-10-10 05:52:00+00:00,1159,99.14285714285714
358057080902248,198,2019-10-15 19:51:00+00:00,2019-10-16 14:45:00+00:00,1135,99.0
866558034754119,108,2019-10-12 14:31:00+00:00,2019-10-12 15:29:00+00:00,59,5.625
866558034754119,75,2019-10-11 09:32:00+00:00,2019-10-11 10:06:00+00:00,35,5.181818181818187
866817034014258,536,2019-10-16 12:24:00+00:00,2019-10-17 03:38:00+00:00,915,52.0
866817034014258,376,2019-10-14 08:18:00+00:00,2019-10-14 14:20:00+00:00,363,32.0
867194030192184,83,2019-10-11 12:03:00+00:00,2019-10-13 02:06:00+00:00,2284,34.0
867194030192184,80,2019-10-09 07:50:00+00:00,2019-10-11 05:28:00+00:00,2739,32.31818181818183
