device_id,segment_id,n_points,start_utc,end_utc,model,n_params,R2_soc,RMSE_soc_pct,plot
352944080639365,246,2165,2019-10-15 05:32:00+00:00,2019-10-16 17:36:00+00:00,level0_ols,2,0.9842789843145544,1.5090137592520438,figures/segment_soc_fits/352944080639365_seg246_soc_fit_r2_0.984.png
352944080639365,202,2521,2019-10-12 10:47:00+00:00,2019-10-14 04:49:00+00:00,level0_ols,2,0.9949177574691012,0.5976488855392895,figures/segment_soc_fits/352944080639365_seg202_soc_fit_r2_0.995.png
358057080902248,123,1151,2019-10-09 10:34:00+00:00,2019-10-10 05:52:00+00:00,level0_ols,2,0.9801395963590469,4.3211588986851766,figures/segment_soc_fits/358057080902248_seg123_soc_fit_r2_0.980.png
358057080902248,198,1135,2019-10-15 19:51:00+00:00,2019-10-16 14:45:00+00:00,level0_ols,2,0.976110271739717,3.948278435817817,figures/segment_soc_fits/358057080902248_seg198_soc_fit_r2_0.976.png
866558034754119,108,59,2019-10-12 14:31:00+00:00,2019-10-12 15:29:00+00:00,level0_ols,2,0.9836831869126482,0.21429218281922321,figures/segment_soc_fits/866558034754119_seg108_soc_fit_r2_0.984.png
866558034754119,75,30,2019-10-11 09:32:00+00:00,2019-10-11 10:06:00+00:00,level0_ols,2,0.9975872472623826,0.07045490615648928,figures/segment_soc_fits/866558034754119_seg75_soc_fit_r2_0.998.png
866817034014258,536,906,2019-10-16 12:24:00+00:00,2019-10-17 03:38:00+00:00,level1_ols,6,0.9975987404704812,0.8299557830913771,figures/segment_soc_fits/866817034014258_seg536_soc_fit_r2_0.998.png
866817034014258,376,356,2019-10-14 08:18:00+00:00,2019-10-14 14:20:00+00:00,level0_ols,2,0.9864683678745425,0.9839540960233408,figures/segment_soc_fits/866817034014258_seg376_soc_fit_r2_0.986.png
867194030192184,83,2284,2019-10-11 12:03:00+00:00,2019-10-13 02:06:00+00:00,level0_ols,2,0.9946448997031889,0.7429251177076981,figures/segment_soc_fits/867194030192184_seg83_soc_fit_r2_0.995.png
867194030192184,80,2739,2019-10-09 07:50:00+00:00,2019-10-11 05:28:00+00:00,level0_ols,2,0.9944514314104895,0.7317542774714842,figures/segment_soc_fits/867194030192184_seg80_soc_fit_r2_0.994.png
